date,open,high,low,close,volume,dividend,ratio
2019-04-01,141.4655,142.734,140.7376,141.8303,4611999536.0,0.0,1
2019-04-02,141.8395,165.2268,141.6365,163.9617,9826645698.0,0.0,1
2019-04-03,164.0086,178.3221,157.3221,161.4588,10622456246.0,0.0,1
2019-04-04,161.4318,164.9292,155.2411,158.0525,7953123529.0,0.0,1
2019-04-05,158.02,167.2204,157.444,165.5148,7531316908.0,0.0,1
2019-04-08,174.4497,184.3779,174.161,180.2588,9304964610.0,0.0,1
2019-04-09,180.2221,180.2542,175.0918,176.1146,7632529578.0,0.0,1
2019-04-10,176.0678,183.1343,175.2304,177.3375,7856924879.0,0.0,1
2019-04-11,177.3428,177.4875,162.3206,165.497,7859383417.0,0.0,1
2019-04-12,165.3352,166.1275,161.0297,164.7363,6237185309.0,0.0,1
2019-04-15,167.8975,168.8185,159.5557,161.5742,5672311824.0,0.0,1
2019-04-16,161.5266,167.6663,160.8887,167.6234,5180105341.0,0.0,1
2019-04-17,167.5537,168.9386,165.5019,166.9508,5596102715.0,0.0,1
2019-04-18,166.9132,175.3653,166.6721,173.814,6971581464.0,0.0,1
2019-04-22,170.0175,173.0691,168.7296,171.8747,6094878077.0,0.0,1
2019-04-23,172.0072,176.8508,170.8968,171.4478,7097827092.0,0.0,1
2019-04-24,171.3495,171.5732,161.9767,165.8261,7351304156.0,0.0,1
2019-04-25,165.9147,166.5134,153.847,154.4594,6820332362.0,0.0,1
2019-04-26,154.5794,158.029,152.0857,156.3471,7505283355.0,0.0,1
2019-04-29,157.2911,158.3339,153.1865,155.202,6053776253.0,0.0,1
2019-04-30,155.1728,162.4323,155.1728,162.166,6275803460.0,0.0,1
2019-05-01,162.1866,164.0607,159.6602,160.8183,5789172433.0,0.0,1
2019-05-02,160.8536,162.937,160.0607,162.1228,6044171062.0,0.0,1
2019-05-03,162.0752,170.0687,161.0806,167.9524,7299410672.0,0.0,1
2019-05-06,163.338,175.7601,159.9882,172.6532,7540096853.0,0.0,1
2019-05-07,172.4273,180.3944,169.6947,169.7987,8411140170.0,0.0,1
2019-05-08,169.9042,172.1835,166.4092,170.9482,6416569598.0,0.0,1
2019-05-09,170.9519,172.8804,167.2479,170.2893,6546914198.0,0.0,1
2019-05-10,170.313,175.8853,168.9914,173.1427,8036919053.0,0.0,1
2019-05-13,187.4179,205.0983,185.3059,196.8463,10367149039.0,0.0,1
2019-05-14,196.7383,217.8746,196.0548,217.1486,12751049755.0,0.0,1
2019-05-15,217.0101,247.4466,216.8221,247.1531,13460006534.0,0.0,1
2019-05-16,246.942,275.3944,245.7953,264.01,18661465873.0,0.0,1
2019-05-17,263.8484,266.9796,227.7674,243.7646,16037551694.0,0.0,1
2019-05-20,261.2675,261.5513,241.8036,251.8644,10834541285.0,0.0,1
2019-05-21,251.6478,262.1075,248.1963,255.2159,11545049593.0,0.0,1
2019-05-22,254.9953,258.8018,242.7305,244.6989,9818257463.0,0.0,1
2019-05-23,244.6651,247.6166,233.7931,245.9657,10671663487.0,0.0,1
2019-05-24,245.9871,255.2593,243.2401,249.485,9929433206.0,0.0,1
2019-05-28,272.5905,274.3208,267.5144,271.7687,10362846898.0,0.0,1
2019-05-29,271.7791,273.7563,263.0914,269.4557,9819132174.0,0.0,1
2019-05-30,269.5519,287.2016,247.3486,255.8589,13604268584.0,0.0,1
2019-05-31,256.0153,268.6599,249.1118,268.1136,11255023515.0,0.0,1
2019-06-03,270.0886,270.3341,251.2622,252.6079,9375712917.0,0.0,1
2019-06-04,252.5116,252.5116,236.1272,241.3388,10132549747.0,0.0,1
2019-06-05,241.497,248.1381,239.9835,247.051,8548917062.0,0.0,1
2019-06-06,246.9252,249.9445,238.5011,249.4743,8265146806.0,0.0,1
2019-06-07,249.3353,254.3523,246.5979,250.9304,8379534528.0,0.0,1
2019-06-10,232.8301,247.6622,229.3418,247.5201,8141159848.0,0.0,1
2019-06-11,247.8621,248.6626,239.8253,245.7818,7382269700.0,0.0,1
2019-06-12,245.9255,261.0176,244.4913,260.9033,8645598618.0,0.0,1
2019-06-13,260.9135,262.1631,255.5963,256.1688,8442077836.0,0.0,1
2019-06-14,256.1797,265.3714,254.1474,264.0875,8676891267.0,0.0,1
2019-06-17,269.0906,275.4426,268.3538,274.3511,6009795781.0,0.0,1
2019-06-18,274.3203,274.3203,263.1444,265.0518,6205242504.0,0.0,1
2019-06-19,265.0569,270.3334,264.7548,269.4318,5516510947.0,0.0,1
2019-06-20,269.4079,274.0735,265.5005,271.695,6408981097.0,0.0,1
2019-06-21,271.7431,295.3033,271.7431,294.9103,9331694140.0,0.0,1
2019-06-24,307.7221,312.3293,299.5595,310.4247,8205712062.0,0.0,1
2019-06-25,310.6786,318.1263,307.6432,318.1263,9641764965.0,0.0,1
2019-06-26,317.9926,361.3987,315.9549,336.7532,16437084081.0,0.0,1
2019-06-27,336.9599,343.4334,278.5732,294.2676,14038092503.0,0.0,1
2019-06-28,294.143,313.0316,292.9398,311.2261,11514656820.0,0.0,1
